Initial number of nuclei A : 100
Initial number of nuclei B : 0
Time constant : 1.00 s
Time step : 0.01 s
Total time : 10.00 s
Time		Number of nuclei A		Number of nuclei B
5.31		    50.001097			    49.998903
5.32		    50.001075			    49.998925
5.33		    50.001053			    49.998947
5.34		    50.001032			    49.998968
5.35		    50.001011			    49.998989
5.36		    50.000991			    49.999009
5.37		    50.000971			    49.999029
5.38		    50.000952			    49.999048
5.39		    50.000933			    49.999067
5.40		    50.000914			    49.999086
5.41		    50.000896			    49.999104
5.42		    50.000878			    49.999122
5.43		    50.000860			    49.999140
5.44		    50.000843			    49.999157
5.45		    50.000826			    49.999174
5.46		    50.000810			    49.999190
5.47		    50.000794			    49.999206
5.48		    50.000778			    49.999222
5.49		    50.000762			    49.999238
5.50		    50.000747			    49.999253
5.51		    50.000732			    49.999268
5.52		    50.000717			    49.999283
5.53		    50.000703			    49.999297
5.54		    50.000689			    49.999311
5.55		    50.000675			    49.999325
5.56		    50.000662			    49.999338
5.57		    50.000648			    49.999352
5.58		    50.000636			    49.999364
5.59		    50.000623			    49.999377
5.60		    50.000610			    49.999390
5.61		    50.000598			    49.999402
5.62		    50.000586			    49.999414
5.63		    50.000574			    49.999426
5.64		    50.000563			    49.999437
5.65		    50.000552			    49.999448
5.66		    50.000541			    49.999459
5.67		    50.000530			    49.999470
5.68		    50.000519			    49.999481
5.69		    50.000509			    49.999491
5.70		    50.000499			    49.999501
5.71		    50.000489			    49.999511
5.72		    50.000479			    49.999521
5.73		    50.000469			    49.999531
5.74		    50.000460			    49.999540
5.75		    50.000451			    49.999549
5.76		    50.000442			    49.999558
5.77		    50.000433			    49.999567
5.78		    50.000424			    49.999576
5.79		    50.000416			    49.999584
5.80		    50.000407			    49.999593
5.81		    50.000399			    49.999601
5.82		    50.000391			    49.999609
5.83		    50.000384			    49.999616
5.84		    50.000376			    49.999624
5.85		    50.000368			    49.999632
5.86		    50.000361			    49.999639
5.87		    50.000354			    49.999646
5.88		    50.000347			    49.999653
5.89		    50.000340			    49.999660
5.90		    50.000333			    49.999667
5.91		    50.000326			    49.999674
5.92		    50.000320			    49.999680
5.93		    50.000313			    49.999687
5.94		    50.000307			    49.999693
5.95		    50.000301			    49.999699
5.96		    50.000295			    49.999705
5.97		    50.000289			    49.999711
5.98		    50.000283			    49.999717
5.99		    50.000278			    49.999722
6.00		    50.000272			    49.999728
6.01		    50.000267			    49.999733
6.02		    50.000261			    49.999739
6.03		    50.000256			    49.999744
6.04		    50.000251			    49.999749
6.05		    50.000246			    49.999754
6.06		    50.000241			    49.999759
6.07		    50.000236			    49.999764
6.08		    50.000231			    49.999769
6.09		    50.000227			    49.999773
6.10		    50.000222			    49.999778
6.11		    50.000218			    49.999782
6.12		    50.000213			    49.999787
6.13		    50.000209			    49.999791
6.14		    50.000205			    49.999795
6.15		    50.000201			    49.999799
6.16		    50.000197			    49.999803
6.17		    50.000193			    49.999807
6.18		    50.000189			    49.999811
6.19		    50.000185			    49.999815
6.20		    50.000182			    49.999818
6.21		    50.000178			    49.999822
6.22		    50.000174			    49.999826
6.23		    50.000171			    49.999829
6.24		    50.000168			    49.999832
6.25		    50.000164			    49.999836
6.26		    50.000161			    49.999839
6.27		    50.000158			    49.999842
6.28		    50.000155			    49.999845
6.29		    50.000151			    49.999849
6.30		    50.000148			    49.999852
6.31		    50.000145			    49.999855
6.32		    50.000143			    49.999857
6.33		    50.000140			    49.999860
6.34		    50.000137			    49.999863
6.35		    50.000134			    49.999866
6.36		    50.000131			    49.999869
6.37		    50.000129			    49.999871
6.38		    50.000126			    49.999874
6.39		    50.000124			    49.999876
6.40		    50.000121			    49.999879
6.41		    50.000119			    49.999881
6.42		    50.000116			    49.999884
6.43		    50.000114			    49.999886
6.44		    50.000112			    49.999888
6.45		    50.000110			    49.999890
6.46		    50.000107			    49.999893
6.47		    50.000105			    49.999895
6.48		    50.000103			    49.999897
6.49		    50.000101			    49.999899
6.50		    50.000099			    49.999901
6.51		    50.000097			    49.999903
6.52		    50.000095			    49.999905
6.53		    50.000093			    49.999907
6.54		    50.000091			    49.999909
6.55		    50.000090			    49.999910
6.56		    50.000088			    49.999912
6.57		    50.000086			    49.999914
6.58		    50.000084			    49.999916
6.59		    50.000083			    49.999917
6.60		    50.000081			    49.999919
6.61		    50.000079			    49.999921
6.62		    50.000078			    49.999922
6.63		    50.000076			    49.999924
6.64		    50.000075			    49.999925
6.65		    50.000073			    49.999927
6.66		    50.000072			    49.999928
6.67		    50.000070			    49.999930
6.68		    50.000069			    49.999931
6.69		    50.000067			    49.999933
6.70		    50.000066			    49.999934
6.71		    50.000065			    49.999935
6.72		    50.000064			    49.999936
6.73		    50.000062			    49.999938
6.74		    50.000061			    49.999939
6.75		    50.000060			    49.999940
6.76		    50.000059			    49.999941
6.77		    50.000057			    49.999943
6.78		    50.000056			    49.999944
6.79		    50.000055			    49.999945
6.80		    50.000054			    49.999946
6.81		    50.000053			    49.999947
6.82		    50.000052			    49.999948
6.83		    50.000051			    49.999949
6.84		    50.000050			    49.999950
6.85		    50.000049			    49.999951
6.86		    50.000048			    49.999952
6.87		    50.000047			    49.999953
6.88		    50.000046			    49.999954
6.89		    50.000045			    49.999955
6.90		    50.000044			    49.999956
6.91		    50.000043			    49.999957
6.92		    50.000042			    49.999958
6.93		    50.000042			    49.999958
6.94		    50.000041			    49.999959
6.95		    50.000040			    49.999960
6.96		    50.000039			    49.999961
6.97		    50.000038			    49.999962
6.98		    50.000038			    49.999962
6.99		    50.000037			    49.999963
7.00		    50.000036			    49.999964
7.01		    50.000035			    49.999965
7.02		    50.000035			    49.999965
7.03		    50.000034			    49.999966
7.04		    50.000033			    49.999967
7.05		    50.000033			    49.999967
7.06		    50.000032			    49.999968
7.07		    50.000031			    49.999969
7.08		    50.000031			    49.999969
